type,name,notice,furigana
びん,カップ酒のびん,キャップを外してひと洗い,か
家庭ごみ,紙くず,品物の縦・横又は高さのいずれもが50cm未満のものです。,か
家庭ごみ,革製品（くつ）,品物の縦・横又は高さのいずれもが50cm未満のものです。,か
家庭ごみ,革製品（かばん）,品物の縦・横又は高さのいずれもが50cm未満のものです。,か
家庭ごみ,紙おむつ,品物の縦・横又は高さのいずれもが50cm未満のものです。,か
空き缶,缶詰,アルミカン・スチールカンに分別してください。中身を洗って出してください。スアルミカン・スチールカンに分別してください。中身を洗って出してください。スチールカン以外の鉄製容器は、「その他不燃物」へ。,か
空き缶,菓子缶,アルミカン・スチールカンに分別してください。中身を洗って出してください。スアルミカン・スチールカンに分別してください。中身を洗って出してください。スチールカン以外の鉄製容器は、「その他不燃物」へ。,か
その他プラスチック,菓子の袋,食品トレイなどは軽く洗って出してください。マヨネーズ・ケチャップ類、付着した食品を洗い流すことが困難な物は「家庭ごみ」に出してください。バケツ、洗面器、おもちゃ等、それ自体が商品であるものは含まれませんので、「家庭ごみ」に出してください。,か
粗大ごみ,カラオケ演奏装置,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,か
粗大ごみ,カーペット,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,か
粗大ごみ,傘立て,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,か
粗大ごみ,カラーボックス,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,か
粗大ごみ,鏡台,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,か
粗大ごみ,簡易式洋式便座（ポータブルトイレを含む）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,か
粗大ごみ,家具,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,か
その他不燃物,ガラスコップ,金属類・陶磁器類・ガラス類などを出してください。品物の縦・横又は高さのいずれもが50cm未満のものです。カミソリなどの危険物は、紙に包んで出してください。50cm以上のものは、粗大ごみ（有料）になります。,が
粗大ごみ,キーボード（卓上）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,き
粗大ごみ,ギター,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ぎ
家庭ごみ,クリーニングの袋,品物の縦・横又は高さのいずれもが50cm未満のものです。,く
粗大ごみ,クーラーボックス,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,く
粗大ごみ,車いす（電動式を除く）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,く
その他不燃物,グラス,金属類・陶磁器類・ガラス類などを出してください。品物の縦・横又は高さのいずれもが50cm未満のものです。カミソリなどの危険物は、紙に包んで出してください。50cm以上のものは、粗大ごみ（有料）になります。,ぐ
空きビン,化粧品のビン,ビンは無色・茶色・他の色の3種類に分別してください。キャップを取り、軽く水洗いしてください。空きビン以外のガラス類は「その他不燃物」へ。一升びん・ビールびん・牛乳びん等はリターナブルびんとして再使用されますので、販売店に返却してください。化粧品の空きびんは他の色で出してください。割れたビンは「その他不燃物」に出してください。,け
粗大ごみ,健康器具,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,け
粗大ごみ,下駄箱,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,げ
蛍光灯,コンパクト球（電球型）,包装容器（箱など）から出して、蛍光灯のみを入れてください。蛍光灯以外の電球・LED・白熱球は、「その他不燃物」へ。,こ
粗大ごみ,コンロ（ガス・IH）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,こ
粗大ごみ,こたつ天板,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,こ
粗大ごみ,子供用遊具等,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,こ
粗大ごみ,ゴムボード,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ご
粗大ごみ,ゴルフ用具（一式）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ご
粗大ごみ,ゴムボート,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ご
空き缶,サラダ缶,アルミカン・スチールカンに分別してください。中身を洗って出してください。スアルミカン・スチールカンに分別してください。中身を洗って出してください。スチールカン以外の鉄製容器は、「その他不燃物」へ。,さ
スプレー缶・ガスボンベ,殺虫剤,完全に中身を使い切ってください。残ったガスを抜く作業は、火気のない風通しの良い屋外で行ってください。,さ
粗大ごみ,サイドボード,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,さ
粗大ごみ,サーフボード,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,さ
粗大ごみ,自動車用品,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,じ
粗大ごみ,自転車（バッテリーは除く）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,じ
空きビン,ジャム,ビンは無色・茶色・他の色の3種類に分別してください。キャップを取り、軽く水洗いしてください。空きビン以外のガラス類は「その他不燃物」へ。一升びん・ビールびん・牛乳びん等はリターナブルびんとして再使用されますので、販売店に返却してください。化粧品の空きびんは他の色で出してください。割れたビンは「その他不燃物」に出してください。,じゃ
空きビン,ジュース,ビンは無色・茶色・他の色の3種類に分別してください。キャップを取り、軽く水洗いしてください。空きビン以外のガラス類は「その他不燃物」へ。一升びん・ビールびん・牛乳びん等はリターナブルびんとして再使用されますので、販売店に返却してください。化粧品の空きびんは他の色で出してください。割れたビンは「その他不燃物」に出してください。,じゅ
空きビン,食糧ビン,ビンは無色・茶色・他の色の3種類に分別してください。キャップを取り、軽く水洗いしてください。空きビン以外のガラス類は「その他不燃物」へ。一升びん・ビールびん・牛乳びん等はリターナブルびんとして再使用されますので、販売店に返却してください。化粧品の空きびんは他の色で出してください。割れたビンは「その他不燃物」に出してください。,しょ
空きビン,食品ビン,ビンは無色・茶色・他の色の3種類に分別してください。キャップを取り、軽く水洗いしてください。空きビン以外のガラス類は「その他不燃物」へ。一升びん・ビールびん・牛乳びん等はリターナブルびんとして再使用されますので、販売店に返却してください。化粧品の空きびんは他の色で出してください。割れたビンは「その他不燃物」に出してください。,しょ
粗大ごみ,食器乾燥機,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,しょ
粗大ごみ,食器洗い乾燥機,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,しょ
粗大ごみ,照明電気（電気スタンドを含む）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,しょ
スプレー缶・ガスボンベ,スプレー式ペンキ,完全に中身を使い切ってください。残ったガスを抜く作業は、火気のない風通しの良い屋外で行ってください。,す
粗大ごみ,ステレオセット,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,す
粗大ごみ,ストーブ,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,す
粗大ごみ,スピーカー,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,す
粗大ごみ,スタンドミラー,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,す
粗大ごみ,すだれ,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,す
粗大ごみ,すのこ,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,す
粗大ごみ,スキー用具（一式）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,す
粗大ごみ,スノーボード,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,す
粗大ごみ,スーツケース,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,す
粗大ごみ,水槽,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,す
粗大ごみ,ズボンプレッサー,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ず
粗大ごみ,扇風機,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,せ
粗大ごみ,掃除機（バッテリーは除く）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,そ
粗大ごみ,その他楽器,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,そ
その他プラスチック,卵のパック,食品トレイなどは軽く洗って出してください。マヨネーズ・ケチャップ類、付着した食品を洗い流すことが困難な物は「家庭ごみ」に出してください。バケツ、洗面器、おもちゃ等、それ自体が商品であるものは含まれませんので、「家庭ごみ」に出してください。,た
粗大ごみ,棚,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,た
粗大ごみ,たんす,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,た
粗大ごみ,卓球台,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,た
家庭ごみ,台所ごみ,品物の縦・横又は高さのいずれもが50cm未満のものです。,だ
その他不燃物,茶碗（陶器）,金属類・陶磁器類・ガラス類などを出してください。品物の縦・横又は高さのいずれもが50cm未満のものです。カミソリなどの危険物は、紙に包んで出してください。50cm以上のものは、粗大ごみ（有料）になります。,ちゃ
空きビン,調味料,ビンは無色・茶色・他の色の3種類に分別してください。キャップを取り、軽く水洗いしてください。空きビン以外のガラス類は「その他不燃物」へ。一升びん・ビールびん・牛乳びん等はリターナブルびんとして再使用されますので、販売店に返却してください。化粧品の空きびんは他の色で出してください。割れたビンは「その他不燃物」に出してください。,ちょ
蛍光灯,直管型,包装容器（箱など）から出して、蛍光灯のみを入れてください。蛍光灯以外の電球・LED・白熱球は、「その他不燃物」へ。,ちょ
家庭ごみ,使い捨てカイロ,品物の縦・横又は高さのいずれもが50cm未満のものです。,つ
家庭ごみ,使い捨てライター,品物の縦・横又は高さのいずれもが50cm未満のものです。,つ
筒形乾電池,筒形乾電池,ボタン電池（形式がLR・SR・PRのもの）やニカド電池等の小型式充電電池はリサイクル協力店または市にお問い合わせください。,つ
粗大ごみ,ついたて,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,つ
粗大ごみ,机,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,つ
粗大ごみ,テレビアンテナ,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,て
粗大ごみ,テーブル類,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,て
粗大ごみ,テレビ台・電話台等,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,て
粗大ごみ,テント（一式）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,て
その他不燃物,電球,金属類・陶磁器類・ガラス類などを出してください。品物の縦・横又は高さのいずれもが50cm未満のものです。カミソリなどの危険物は、紙に包んで出してください。50cm以上のものは、粗大ごみ（有料）になります。,で
粗大ごみ,電気こたつ（天板と一体になったものも含む）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,で
粗大ごみ,電子オルガン,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,で
粗大ごみ,電化製品,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,で
粗大ごみ,とい,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,と
粗大ごみ,トタン板・波板,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,と
家庭ごみ,生ごみ,品物の縦・横又は高さのいずれもが50cm未満のものです。,な
その他不燃物,鍋,金属類・陶磁器類・ガラス類などを出してください。品物の縦・横又は高さのいずれもが50cm未満のものです。カミソリなどの危険物は、紙に包んで出してください。50cm以上のものは、粗大ごみ（有料）になります。,な
粗大ごみ,生ごみ堆肥化容器,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,な
家庭ごみ,歯ブラシ,品物の縦・横又は高さのいずれもが50cm未満のものです。,は
その他不燃物,ハンガー（金属製）,金属類・陶磁器類・ガラス類などを出してください。品物の縦・横又は高さのいずれもが50cm未満のものです。カミソリなどの危険物は、紙に包んで出してください。50cm以上のものは、粗大ごみ（有料）になります。,は
粗大ごみ,火鉢,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ひ
ペットボトル,PETのマークが付いているボトル（容器）,キャップを取りラベルをはがし、中は軽く洗ってください。潰して出してください。キャップ、ラベルは「その他プラスチック」へ。,ぴ
粗大ごみ,ピーチパラソル,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ぴ
粗大ごみ,布団,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ふ
粗大ごみ,ブラインド,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ぶ
家庭ごみ,プラスチック製品（バケツ）,品物の縦・横又は高さのいずれもが50cm未満のものです。,ぷ
家庭ごみ,プラスチック製品（灯油容器）,品物の縦・横又は高さのいずれもが50cm未満のものです。,ぷ
家庭ごみ,プラスチック製品（カセットテープ）,品物の縦・横又は高さのいずれもが50cm未満のものです。,ぷ
家庭ごみ,プラスチック製品（ビデオテープ）,品物の縦・横又は高さのいずれもが50cm未満のものです。,ぷ
家庭ごみ,プラスチック製品（CD）,品物の縦・横又は高さのいずれもが50cm未満のものです。,ぷ
家庭ごみ,プラスチック製品（ハンガー）,品物の縦・横又は高さのいずれもが50cm未満のものです。,ぷ
粗大ごみ,ファンヒーター（灯油は取り除く）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ふぁ
粗大ごみ,ベッド,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,べ
粗大ごみ,ベビーカー,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,べ
その他不燃物,ペンキの缶,金属類・陶磁器類・ガラス類などを出してください。品物の縦・横又は高さのいずれもが50cm未満のものです。カミソリなどの危険物は、紙に包んで出してください。50cm以上のものは、粗大ごみ（有料）になります。,ぺ
その他プラスチック,ペットボトルのラベル,食品トレイなどは軽く洗って出してください。マヨネーズ・ケチャップ類、付着した食品を洗い流すことが困難な物は「家庭ごみ」に出してください。バケツ、洗面器、おもちゃ等、それ自体が商品であるものは含まれませんので、「家庭ごみ」に出してください。,ぺ
粗大ごみ,ペット小屋,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ぺ
その他不燃物,包丁,金属類・陶磁器類・ガラス類などを出してください。品物の縦・横又は高さのいずれもが50cm未満のものです。カミソリなどの危険物は、紙に包んで出してください。50cm以上のものは、粗大ごみ（有料）になります。,ほ
粗大ごみ,ホットカーペット,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ほ
粗大ごみ,ホースリール（ホースを含む）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ほ
家庭ごみ,ポリ容器,品物の縦・横又は高さのいずれもが50cm未満のものです。,ぽ
粗大ごみ,マットレス,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ま
粗大ごみ,マッサージ機（いす型）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ま
粗大ごみ,マッサージ器（いす型以外）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ま
粗大ごみ,ミシン,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,み
粗大ごみ,餅つき機,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,も
粗大ごみ,物置,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,も
粗大ごみ,物干し竿,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,も
粗大ごみ,物干し台（土台付き）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,も
粗大ごみ,物干し台（土台なし）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,も
粗大ごみ,湯沸器,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ゆ
その他プラスチック,容器包装物（ボトル類）,食品トレイなどは軽く洗って出してください。マヨネーズ・ケチャップ類、付着した食品を洗い流すことが困難な物は「家庭ごみ」に出してください。バケツ、洗面器、おもちゃ等、それ自体が商品であるものは含まれませんので、「家庭ごみ」に出してください。,よ
その他プラスチック,容器包装物（カップ・パック類）,食品トレイなどは軽く洗って出してください。マヨネーズ・ケチャップ類、付着した食品を洗い流すことが困難な物は「家庭ごみ」に出してください。バケツ、洗面器、おもちゃ等、それ自体が商品であるものは含まれませんので、「家庭ごみ」に出してください。,よ
その他プラスチック,容器包装物（トレイ類）,食品トレイなどは軽く洗って出してください。マヨネーズ・ケチャップ類、付着した食品を洗い流すことが困難な物は「家庭ごみ」に出してください。バケツ、洗面器、おもちゃ等、それ自体が商品であるものは含まれませんので、「家庭ごみ」に出してください。,よ
その他プラスチック,容器包装物（ポリ・ラップ類）,食品トレイなどは軽く洗って出してください。マヨネーズ・ケチャップ類、付着した食品を洗い流すことが困難な物は「家庭ごみ」に出してください。バケツ、洗面器、おもちゃ等、それ自体が商品であるものは含まれませんので、「家庭ごみ」に出してください。,よ
その他プラスチック,容器包装物（緩衝材）,食品トレイなどは軽く洗って出してください。マヨネーズ・ケチャップ類、付着した食品を洗い流すことが困難な物は「家庭ごみ」に出してください。バケツ、洗面器、おもちゃ等、それ自体が商品であるものは含まれませんので、「家庭ごみ」に出してください。,よ
その他プラスチック,容器包装物（フタ類）,食品トレイなどは軽く洗って出してください。マヨネーズ・ケチャップ類、付着した食品を洗い流すことが困難な物は「家庭ごみ」に出してください。バケツ、洗面器、おもちゃ等、それ自体が商品であるものは含まれませんので、「家庭ごみ」に出してください。,よ
その他プラスチック,容器包装物（レジ袋）,食品トレイなどは軽く洗って出してください。マヨネーズ・ケチャップ類、付着した食品を洗い流すことが困難な物は「家庭ごみ」に出してください。バケツ、洗面器、おもちゃ等、それ自体が商品であるものは含まれませんので、「家庭ごみ」に出してください。,よ
その他プラスチック,容器包装物（プラスチック容器）,食品トレイなどは軽く洗って出してください。マヨネーズ・ケチャップ類、付着した食品を洗い流すことが困難な物は「家庭ごみ」に出してください。バケツ、洗面器、おもちゃ等、それ自体が商品であるものは含まれませんので、「家庭ごみ」に出してください。,よ
粗大ごみ,よしず,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,よ
粗大ごみ,レンジ（ガラス・電子）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,れ
粗大ごみ,レジャー用品,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,れ
粗大ごみ,ロッカー,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,ろ
空きビン,ワイン,ビンは無色・茶色・他の色の3種類に分別してください。キャップを取り、軽く水洗いしてください。空きビン以外のガラス類は「その他不燃物」へ。一升びん・ビールびん・牛乳びん等はリターナブルびんとして再使用されますので、販売店に返却してください。化粧品の空きびんは他の色で出してください。割れたビンは「その他不燃物」に出してください。,わ
蛍光灯,環型（丸い物）,包装容器（箱など）から出して、蛍光灯のみを入れてください。蛍光灯以外の電球・LED・白熱球は、「その他不燃物」へ。,わ
粗大ごみ,ワゴン,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,わ
